English;Russian
add;добавлять
ask;спрашивать
become;становиться
begin;начинать
blow;дуть, выдыхать
bring;приносить
build;строить
buy;покупать
choose;выбирать
clean;чистый, чистить
close;закрывать
come;приходить
cook;готовить, повар
cut;резать
decide;решать
draw;рисовать
drink;пить
drive;вести
dress;одевать
eat;есть(еда)
enjoy;наслаждаться
feed;кормить
feel;чувствовать
fight;драться
fly;летать
fridge;морозить, холодильник
get;получать
get up;вставать
give;давать
go;идти
grow;расти
hate;ненавидеть
have;иметь
hear;слышать
help;помогать
hide;прятать
hug;обнимать
invite;приглашать
join;присоединять
jump;прыгать
know;знать
leave;покидать
like;нравиться, любить
listen;слушать
live;жить
look;смотреть
lose;терять
love;любить
make;делать
meet;встречать
open;открывать
play;играть
put;класть, ставить, ложить
ride;ехать(на лошади)
ring;звонить
run;бегать
say;сказать
see;видеть
send;посылать
shine;светить
show;показывать
shoot;стрелять
sing;петь
sit;сидеть
skate;кататься на коньках
ski;ехать на лыжах
sleep;спать
speak;говорить( s )
spell;произносить
stand;стоять
steal;воровать, красть
swim;плавать
take;брать, хватать
talk;говорить( t )
teach;учить
tell;рассказывать
thank;благодарить
think;думать
throw;бросать
travel;путешествовать
try;стараться
understand;понимать
visit;навещать
wake;просыпаться
walk;идти
want;хотеть
wash;мыть
win;победить
write;писать
