English;Russian
aunt;тетя
author;автор
boy;мальчик
brother;брат
child;ребёнок
class;класс, занятие
after classes;после уроков
before classes;перед уроками
classmate;одноклассник
classroom;классная комната
clown;клоун
companion;попутчик
cook;повар, готовить
counter;счетовод, бухгалтер
cousin;двоюродный брат(сестра)
dad;папочка, папа
dancer;танцор
daughter;дочь
doctor;врач
driver;водитель
elf;эльф
family;семья
farmer;фермер
father;отец
friend;друг
general;генерал
girl;девочка
giant;великан
grandfather;дедушка
grandmother;бабушка
granny;бабушка(ласкательное)
grandparents;дедушка и бабушка
great-grandmother;прабабушка
great-grandfather;прадедушка
great-grandparents;прадедушка и прабабушка
helper;помощник
husband;муж
jumper;прыгун
king;король
man;человек
men;мужчины
mermaid;русалка
mother;мама
mum;мама(ласково)
nurse;медсестра
parent;родитель
people;люди
pilot;лётчик
player;игрок
poet;поэт
pupil;ученик
queen;королева
reader;читатель
runner;бегун
school;школа
schoolboy;школьник
schoolday;учебный день
schoolmate;одноклассник
servant;слуга
shopper;покупатель
singer;певец
sister;сестра
skater;конькобежец
skier;лыжник
son;сын
speaker;оратор
student;студент
swimmer;пловец
teacher;учитель
troll;тролль
uncle;дядя
wife;жена
woman;женщина
women;женщины
