English;Russian
be;быть
am;есть(ед. Число)
are;есть(мн. Число)
can;мочь, могу
have;иметь
about;o(предлог)
after;после
afternoon;время после полудня
again;снова(опять)
ago;тому назад
all;все(весь)
at all;совсем
alone;один(в одиночестве)
always;всегда
and;и
any;некоторое(количество)
at;у, около, за, в, на
away;прочь
because;потому что
but;но(союз)
by;возле(рядом)
bye-bye;пока, до свидания
cannot;не могу
certainly;конечно
some day;Когда-нибудь
do;делать
down;вниз
downstairs;внизу
even;даже
for;для(предлог)
in front off;спереди, перед
he;он
her;её
here;здесь
his;его
how;как
I;я
in;в(предлог)
is;есть(3 лицо)
it;оно
lots;много
many;много
how many;сколько
maximum;максимум
me;мне
more;больше
my;мой
near;рядом
never;никогда
no;нет
now;теперь
often;часто
on;на(предлог)
only;только
or;или
our;наш
please;пожалуйста
she;она
some;несколько
sometimes;иногда
soon;вскоре
than;чем
that;тот
their;их
then;тогда
there;там
these;эти
they;они
this;этот
those;те
to;к(предлог)
together;вместе
too;тоже
under;под
up;вверх
upstairs;наверху
us;нас
very;очень
was;был
we;мы
well;хорошо
were;были
what;что
when;когда
where;где
who;кто
with;с(союз)
yes;да
you;ты
your;твой
