English;Russian
bad;плохой
beautiful;красивый(прекрасный)
big;большой
black;черный
blue;синий
bright;яркий
brown;коричневый
busy;занятой, оживленный(о городе)
light brown;Светло-коричневый
clear;ясный, чистый
clever;умный
cloudy;облачный
cold;холодный
comfortable;удобный
cute;симпатичный, милый
dark;тёмный
dear;дорогой
dificult;трудный
dirty;грязный
dry;сухой
dull;тусклый
early;ранний
easy;простой, легкий
english;английский
every;каждый
fairy;волшебный
famous;известный
fat;толстый
favourite;любимый
free;свободный
french;французский
friendly;дружеский
front;передний
frosty;морозный
funny;забавный
golden;золотой
good;хороший
green;зелёный
grey;серый
happy;счастливый
high;высокий
healthy;здоровый
hot;жаркий
hungry;голодный
ill;больной, нездоровый
important;важный
indian;индийский
interesting;интересный
joyful;радостный
last;последний
late;поздний
left;левый
light;светлый
little;маленький(с буквы l)
long;длинный
low;низкий
messy;неубранный, беспорядочный
modern;современный
muddy;грязный
narrow;узкий
nasty;плохой
next;следующий
new;новый
nice;милый
old;старый
orange;оранжевый
painful;болезненный
pale;бледный
pink;розовый
pleasant;приятный
proud;гордый
purple;фиолетовый, пурпурный
rainy;дождливый
ready;готовый
red;красный
regular;регулярный
rich;богатый
right;правый
russian;русский
sad;грустный
sick;больной
silver;серебрянный
slow;медленный
small;маленький(с буквы s)
snowy;снежный
strong;сильный
successful;успешный
sunny;солнечный
tall;высокий
tasty;вкусный
thick;толстый
thin;тонкий
thirsty;испытывающий жажду
tidy;аккуратный
tired;усталый
useful;полезный
warm;тёплый
weak;слабый
white;белый
wild;дикий
windy;ветреный
wonderful;прекрасный
yellow;жёлтый
young;молодой
